"ano";"mes";"dias_chuva";"precipitacao_total";"temperatura_media"
2015;1;18.745454545454546;10350.0;25.73389830508475
2015;2;16.666666666666668;9097.400000000003;25.629629629629623
2015;3;20.627450980392158;13244.199999999999;25.5433962264151
2015;4;20.595744680851062;9944.799999999996;25.826415094339616
2015;5;17.244897959183675;7306.799999999999;25.862500000000008
2015;6;10.954545454545455;3064.0;25.887500000000006
2015;7;9.222222222222221;2165.7999999999997;25.997999999999998
2015;8;5.217391304347826;1210.1999999999998;27.143396226415092
2015;9;3.843137254901961;1183.0000000000002;28.157894736842113
2015;10;6.350877192982456;3009.4000000000005;28.345901639344255
2015;11;9.8;5425.6;27.689830508474568
2015;12;12.892857142857142;7377.4000000000015;27.295161290322582
2016;1;18.1;12767.399999999998;26.798305084745756
2016;2;18.228070175438596;11106.2;26.922033898305077
2016;3;20.75;14423.400000000001;26.556140350877186
2016;4;14.017241379310345;9596.800000000003;26.77931034482759
2016;5;12.660714285714286;6636.799999999999;26.527118644067798
2016;6;9.457627118644067;3591.6;25.907936507936505
2016;7;6.818181818181818;2225.7999999999997;26.306779661016947
2016;8;4.729166666666667;1787.0;27.267213114754085
2016;9;8.105263157894736;3866.2;27.21694915254237
2016;10;9.721311475409836;5109.599999999999;27.428358208955224
2016;11;10.596774193548388;6074.799999999999;27.204545454545467
2016;12;18.032258064516128;14787.800000000001;26.155072463768118
2017;1;20.147540983606557;15215.0;25.518181818181812
2017;2;18.83582089552239;16477.0;25.271428571428565
2017;3;21.606060606060606;19677.800000000003;25.66666666666667
2017;4;20.225806451612904;14028.599999999999;25.9953125
2017;5;12.172413793103448;5514.4;26.610344827586207
2017;6;7.7592592592592595;3389.0000000000005;25.969491525423734
2017;7;4.607142857142857;1549.6;25.48387096774194
2017;8;4.639344262295082;2020.6;27.32580645161292
2017;9;6.063492063492063;2611.800000000001;27.631428571428568
2017;10;8.35820895522388;5688.4;27.67285714285714
2017;11;13.098360655737705;9183.599999999997;26.765079365079366
2017;12;18.72463768115942;14767.599999999999;25.97702702702703
2018;1;22.396825396825395;13473.600000000002;25.542857142857148
2018;2;20.147540983606557;17819.600000000006;25.24769230769231
2018;3;21.3;13827.2;25.719696969696965
2018;4;19.482142857142858;13379.600000000004;25.515625000000004
2018;5;13.435483870967742;8566.8;25.7927536231884
2018;6;7.767857142857143;3789.0000000000005;25.4296875
2018;7;7.517241379310345;3413.4000000000005;25.71875
2018;8;7.111111111111111;2917.4;26.47352941176471
2018;9;8.1;4326.800000000001;27.232835820895524
2018;10;10.40625;5517.999999999999;27.37878787878787
2018;11;14.828125;11528.2;26.696969696969695
2018;12;19.516129032258064;15293.199999999999;25.550819672131148
2019;1;22.116666666666667;15936.600000000002;25.68196721311475
2019;2;19.560606060606062;15259.0;25.734375
2019;3;22.507462686567163;20575.199999999997;25.94347826086956
2019;4;19.943661971830984;17722.400000000005;26.073611111111116
2019;5;16.06153846153846;12581.8;26.18823529411765
2019;6;10.327868852459016;5505.8;26.085294117647056
2019;7;8.348484848484848;4220.2;25.882432432432427
2019;8;6.410714285714286;2744.5999999999995;26.528169014084504
2019;9;6.564516129032258;3798.6000000000004;27.83880597014925
2019;10;14.206349206349206;7797.600000000003;26.725
2019;11;14.393939393939394;10456.6;26.701388888888896
2019;12;19.015151515151516;13694.199999999997;26.480000000000004
2020;1;20.805555555555557;17322.400000000005;26.04246575342467
2020;2;21.046875;16143.399999999998;25.93478260869566
2020;3;20.80327868852459;16964.4;26.004477611940295
2020;4;20.491525423728813;14785.800000000001;25.986153846153844
2020;5;14.586206896551724;7633.999999999999;26.083333333333332
2020;6;8.90566037735849;3525.2;25.97592592592593
2020;7;6.081632653061225;1526.8000000000002;26.017999999999997
2020;8;3.8297872340425534;1166.8;27.004255319148943
2020;9;5.288888888888889;1497.8;27.948888888888884
2020;10;9.30952380952381;3189.999999999999;27.77894736842105
2020;11;14.27027027027027;6167.400000000001;26.71388888888889
2020;12;15.317073170731707;5353.399999999999;26.302702702702707
2021;1;18.210526315789473;4732.799999999999;25.831578947368424
2021;2;20.914285714285715;10932.599999999999;25.352631578947364
2021;3;20.428571428571427;9228.4;25.431428571428572
2021;4;18.9;5489.799999999999;25.93125
2021;5;11.428571428571429;2754.4000000000005;26.02903225806451
2021;6;6.346153846153846;752.2000000000002;25.773076923076925
2021;7;6.0;776.0;25.723999999999997
2021;8;4.6;904.4000000000001;27.090909090909086
2021;9;8.074074074074074;1333.1999999999996;27.748148148148147
2021;10;14.826086956521738;3328.3999999999996;27.107407407407408
2021;11;17.96153846153846;4504.999999999999;25.811999999999998
2021;12;18.53125;7129.400000000001;25.818518518518513
2022;1;19.96551724137931;7032.800000000001;25.374074074074073
2022;2;19.48148148148148;5405.2;25.599999999999998
2022;3;21.5;7605.0;25.364285714285717
2022;4;15.615384615384615;5606.199999999999;26.044444444444444
2022;5;12.243243243243244;5231.000000000001;25.686111111111114
2022;6;10.622222222222222;4101.400000000001;25.60238095238095
2022;7;7.666666666666667;2205.6000000000004;26.312244897959186
2022;8;7.1020408163265305;2126.0;26.763265306122445
2022;9;6.918367346938775;2202.2;27.716666666666658
2022;10;10.872340425531915;5215.4000000000015;27.400000000000002
2022;11;13.088888888888889;6449.4000000000015;26.160869565217393
2022;12;20.22222222222222;10106.6;25.723404255319153
2023;1;20.75;10033.6;25.164444444444435
2023;2;19.693877551020407;8498.0;25.51086956521739
2023;3;20.423076923076923;13024.799999999997;25.577083333333338
2023;4;17.612244897959183;9334.0;26.04375
2023;5;13.907407407407407;7162.600000000001;26.46538461538461
2023;6;8.555555555555555;3303.7999999999997;26.07241379310345
2023;7;6.2727272727272725;2494.8;26.427586206896557
2023;8;5.107142857142857;1889.1999999999996;27.68596491228071
2023;9;5.859649122807017;2701.0;28.555172413793095
2023;10;7.983050847457627;3139.9999999999995;28.718965517241394
2023;11;9.67741935483871;4285.400000000001;28.065517241379304
2023;12;15.363636363636363;7817.400000000001;27.203076923076917
2024;1;20.693548387096776;13879.599999999999;26.533846153846156
2024;2;17.868852459016395;12712.600000000006;26.585483870967742
2024;3;20.41269841269841;16161.199999999997;26.77076923076923
2024;4;20.246153846153845;15488.999999999996;26.724242424242426
2024;5;14.238095238095237;8976.4;26.599999999999998
2024;6;8.114754098360656;3807.5999999999995;26.515625
2024;7;4.894736842105263;1972.2000000000005;26.209999999999997
2024;8;4.160714285714286;1423.8000000000002;27.20847457627119
2024;9;3.3125;1363.3999999999999;28.679661016949147
2024;10;8.185185185185185;4112.200000000001;28.362711864406776
2024;11;10.982758620689655;4752.599999999999;27.40172413793103
2024;12;18.054545454545455;9616.4;26.63859649122808
