"ano";"mes";"dias_chuva_mensal";"precip_total_mensal_mm";"temp_media_mensal_c"
2015;1;18.745454545454546;195.28301886792454;25.733898305084747
2015;2;16.666666666666668;211.56744186046512;25.62962962962963
2015;3;20.627450980392158;301.00454545454545;25.543396226415094
2015;4;20.595744680851062;216.19130434782608;25.826415094339623
2015;5;17.244897959183675;166.06363636363636;25.8625
2015;6;10.954545454545455;71.25581395348837;25.8875
2015;7;9.222222222222221;50.367441860465114;25.998
2015;8;5.217391304347826;27.504545454545454;27.143396226415096
2015;9;3.843137254901961;24.142857142857142;28.157894736842106
2015;10;6.350877192982456;64.02978723404256;28.345901639344262
2015;11;9.8;106.3843137254902;27.689830508474575
2015;12;12.892857142857142;127.19655172413793;27.295161290322582
2016;1;18.1;236.43333333333334;26.798305084745763
2016;2;18.228070175438596;198.325;26.922033898305084
2016;3;20.75;300.4875;26.556140350877193
2016;4;14.017241379310345;199.93333333333334;26.779310344827586
2016;5;12.660714285714286;125.22264150943396;26.527118644067798
2016;6;9.457627118644067;69.06923076923077;25.90793650793651
2016;7;6.818181818181818;42.80384615384615;26.30677966101695
2016;8;4.729166666666667;33.716981132075475;27.2672131147541
2016;9;8.105263157894736;72.94716981132075;27.216949152542373
2016;10;9.721311475409836;100.18823529411765;27.428358208955224
2016;11;10.596774193548388;114.6188679245283;27.204545454545453
2016;12;18.032258064516128;242.42295081967214;26.155072463768114
2017;1;20.147540983606557;276.6363636363636;25.51818181818182
2017;2;18.83582089552239;329.54;25.271428571428572
2017;3;21.606060606060606;327.9633333333333;25.666666666666668
2017;4;20.225806451612904;255.06545454545454;25.9953125
2017;5;12.172413793103448;108.12549019607843;26.610344827586207
2017;6;7.7592592592592595;62.75925925925926;25.969491525423727
2017;7;4.607142857142857;29.237735849056605;25.483870967741936
2017;8;4.639344262295082;36.082142857142856;27.325806451612902
2017;9;6.063492063492063;45.03103448275862;27.63142857142857
2017;10;8.35820895522388;88.88125;27.672857142857143
2017;11;13.098360655737705;158.33793103448275;26.765079365079366
2017;12;18.72463768115942;250.29830508474575;25.977027027027027
2018;1;22.396825396825395;224.56;25.54285714285714
2018;2;20.147540983606557;349.4039215686275;25.247692307692308
2018;3;21.3;271.121568627451;25.71969696969697
2018;4;19.482142857142858;257.3;25.515625
2018;5;13.435483870967742;150.29473684210527;25.792753623188407
2018;6;7.767857142857143;67.66071428571428;25.4296875
2018;7;7.517241379310345;58.851724137931036;25.71875
2018;8;7.111111111111111;51.18245614035088;26.473529411764705
2018;9;8.1;75.90877192982457;27.232835820895524
2018;10;10.40625;98.53571428571429;27.37878787878788
2018;11;14.828125;213.48518518518517;26.696969696969695
2018;12;19.516129032258064;273.09285714285716;25.550819672131148
2019;1;22.116666666666667;274.7689655172414;25.681967213114753
2019;2;19.560606060606062;277.43636363636364;25.734375
2019;3;22.507462686567163;316.54153846153844;25.943478260869565
2019;4;19.943661971830984;272.6523076923077;26.07361111111111
2019;5;16.06153846153846;202.93225806451613;26.188235294117646
2019;6;10.327868852459016;96.59298245614035;26.08529411764706
2019;7;8.348484848484848;70.33666666666667;25.88243243243243
2019;8;6.410714285714286;42.22461538461538;26.528169014084508
2019;9;6.564516129032258;58.44;27.838805970149252
2019;10;14.206349206349206;129.96;26.725
2019;11;14.393939393939394;168.65483870967742;26.70138888888889
2019;12;19.015151515151516;217.36825396825395;26.48
2020;1;20.805555555555557;266.4984615384615;26.042465753424658
2020;2;21.046875;278.3344827586207;25.934782608695652
2020;3;20.80327868852459;314.15555555555557;26.0044776119403
2020;4;20.491525423728813;278.977358490566;25.986153846153847
2020;5;14.586206896551724;159.04166666666666;26.083333333333332
2020;6;8.90566037735849;71.94285714285714;25.975925925925925
2020;7;6.081632653061225;32.48510638297872;26.018
2020;8;3.8297872340425534;26.51818181818182;27.004255319148935
2020;9;5.288888888888889;40.48108108108108;27.948888888888888
2020;10;9.30952380952381;91.14285714285714;27.778947368421054
2020;11;14.27027027027027;220.2642857142857;26.71388888888889
2020;12;15.317073170731707;184.6;26.302702702702703
2021;1;18.210526315789473;249.09473684210528;25.83157894736842
2021;2;20.914285714285715;352.6645161290323;25.352631578947367
2021;3;20.428571428571427;329.5857142857143;25.431428571428572
2021;4;18.9;219.592;25.93125
2021;5;11.428571428571429;110.176;26.029032258064515
2021;6;6.346153846153846;39.589473684210525;25.77307692307692
2021;7;6.0;43.111111111111114;25.724
2021;8;4.6;45.22;27.09090909090909
2021;9;8.074074074074074;83.325;27.748148148148147
2021;10;14.826086956521738;166.42000000000002;27.107407407407408
2021;11;17.96153846153846;250.27777777777777;25.812
2021;12;18.53125;375.2315789473684;25.81851851851852
2022;1;19.96551724137931;293.03333333333336;25.374074074074073
2022;2;19.48148148148148;317.9529411764706;25.6
2022;3;21.5;330.6521739130435;25.364285714285714
2022;4;15.615384615384615;224.248;26.044444444444444
2022;5;12.243243243243244;180.3793103448276;25.68611111111111
2022;6;10.622222222222222;132.30322580645162;25.60238095238095
2022;7;7.666666666666667;56.55384615384615;26.312244897959182
2022;8;7.1020408163265305;47.24444444444445;26.76326530612245
2022;9;6.918367346938775;48.937777777777775;27.716666666666665
2022;10;10.872340425531915;133.72820512820513;27.4
2022;11;13.088888888888889;189.68823529411765;26.160869565217393
2022;12;20.22222222222222;273.15135135135137;25.72340425531915
2023;1;20.75;264.0421052631579;25.164444444444445
2023;2;19.693877551020407;293.0344827586207;25.51086956521739
2023;3;20.423076923076923;317.6780487804878;25.577083333333334
2023;4;17.612244897959183;222.23809523809524;26.04375
2023;5;13.907407407407407;170.53809523809522;26.465384615384615
2023;6;8.555555555555555;71.82173913043478;26.072413793103447
2023;7;6.2727272727272725;49.896;26.427586206896553
2023;8;5.107142857142857;37.043137254901964;27.685964912280703
2023;9;5.859649122807017;50.9622641509434;28.555172413793102
2023;10;7.983050847457627;68.26086956521739;28.71896551724138
2023;11;9.67741935483871;97.39545454545454;28.063793103448276
2023;12;15.363636363636363;166.32765957446807;27.203076923076924
2024;1;20.693548387096776;289.15833333333336;26.533846153846152
2024;2;17.868852459016395;288.9227272727273;26.585483870967742
2024;3;20.41269841269841;316.8862745098039;26.77076923076923
2024;4;20.246153846153845;276.5892857142857;26.719402985074627
2024;5;14.238095238095237;149.71333333333334;26.5984375
2024;6;8.114754098360656;65.64827586206897;26.515625
2024;7;4.894736842105263;36.52222222222222;26.21
2024;8;4.160714285714286;25.425;27.208474576271186
2024;9;3.3125;29.00851063829787;28.679661016949154
2024;10;8.185185185185185;87.49361702127659;28.36271186440678
2024;11;10.982758620689655;118.815;27.401724137931033
2024;12;18.054545454545455;218.55454545454546;26.63859649122807
